ID_PER,ap_reun_aut,ap_firma_pet,ap_resol_prob,ap_rec_part_pol,ap_protest,ap_toma_carr,ap_pinta,ap_busca_apoyo_osc,ap_acudir_medios,ap_presion_rs,ap_huelga
0460257.07.01,1,1,1,1,2,1,2,1,1,2,2
0500076.04.02,2,2,2,2,2,2,2,2,2,2,2
0500476.01.02,2,2,2,2,2,2,2,2,2,2,2
0500511.02.01,2,2,2,2,2,2,2,2,2,2,2
0500831.01.01,2,2,2,2,2,2,2,2,2,2,2
0500848.02.01,2,2,2,2,2,2,2,2,2,2,2
0501169.03.01,1,1,1,1,2,2,2,2,2,2,2
0501261.01.01,2,2,2,2,2,2,2,2,1,1,2
0501261.02.02,1,1,2,2,2,2,2,2,2,2,2
0501308.01.08,2,2,2,2,2,2,2,2,2,2,1
0501817.05.02,2,2,1,2,2,2,2,2,2,2,2
0501864.05.02,1,1,2,2,2,2,2,1,2,2,2
0501894.05.02,2,2,2,2,2,2,2,2,2,1,2
0501964.03.01,1,1,2,1,2,2,2,2,1,1,2
0502040.01.01,2,1,2,2,2,2,2,2,2,2,2
0502040.02.02,2,1,1,2,1,2,2,2,1,1,2
0502040.04.02,1,1,1,2,1,2,2,1,2,1,1
0502322.02.02,2,2,2,2,2,2,2,2,2,2,2
0502354.02.01,1,1,1,1,2,2,2,2,2,2,2
0502354.04.01,2,2,2,2,2,2,2,2,2,2,2
0502369.04.02,2,2,2,2,2,2,2,2,2,2,2
0502450.01.04,2,2,2,2,2,2,2,2,2,2,2
0502450.04.03,2,1,1,2,1,1,2,2,2,1,2
0502467.01.02,2,2,2,2,2,2,2,2,2,2,2
0502467.03.01,2,2,2,2,2,2,2,2,2,2,2
0502477.03.01,1,1,1,1,2,2,2,2,2,1,2
0502477.04.02,2,2,2,2,2,2,2,2,2,2,2
0502485.02.01,2,2,2,2,2,2,2,2,2,2,2
0502534.02.01,2,2,2,2,2,2,2,2,2,2,2
0502534.04.02,2,2,1,2,2,2,2,2,2,2,2
0502556.03.03,1,1,2,2,2,2,2,2,2,1,1
0502633.02.03,1,2,2,2,2,2,2,2,2,2,2
0502736.03.01,2,1,1,2,2,2,2,2,2,2,2
0502736.04.02,2,2,2,2,2,2,2,2,2,2,2
0502779.04.01,2,2,2,2,2,2,1,2,2,2,1
0503038.02.01,2,2,2,2,2,2,2,2,2,2,2
0503113.04.02,2,2,2,2,2,2,2,2,2,2,2
0503164.03.02,2,1,2,1,2,2,2,2,2,2,2
0503164.05.03,2,2,2,2,2,2,2,2,2,1,2
0503265.05.02,2,2,2,2,2,2,2,2,2,2,2
0503324.01.02,2,2,2,2,2,2,2,2,2,2,2
0503324.05.01,2,2,2,2,2,2,2,2,2,2,2
0503489.03.01,1,1,1,2,1,2,2,2,2,1,2
0503489.04.02,1,1,2,2,1,2,2,2,2,2,2
0503697.05.01,1,1,1,2,2,2,2,1,2,1,2
0503766.03.01,2,2,2,2,2,2,2,2,2,2,2
0503766.04.03,2,1,2,2,1,2,2,1,1,1,1
0503832.03.01,2,2,1,2,2,2,2,2,2,2,2
0503942.02.04,2,2,1,2,1,2,2,2,2,1,2
0504057.03.02,2,1,2,2,2,2,2,2,2,2,2
0504110.03.01,2,2,2,2,2,2,2,2,2,2,2
0504138.05.03,2,2,1,2,2,2,2,2,2,2,2
0504177.04.04,2,2,2,2,2,2,2,2,2,2,2
0504194.05.02,2,2,2,2,2,2,2,2,2,2,2
0504224.01.01,2,2,2,2,2,2,2,2,2,2,2
0504224.02.02,2,2,2,2,2,2,2,2,2,2,2
0504224.04.03,1,1,2,2,2,2,2,2,2,1,2
0504279.01.01,2,2,2,2,2,2,2,2,2,2,2
0504340.01.01,2,2,2,2,2,2,2,2,2,2,2
0504405.02.03,1,1,2,2,2,2,2,2,2,2,2
0504405.03.01,2,2,2,2,2,2,2,2,2,2,2
0504544.04.01,2,2,2,2,2,2,2,2,2,2,2
0504575.04.02,2,2,2,2,2,2,2,2,2,2,2
0504600.03.02,2,2,2,2,2,2,2,2,2,2,2
0504644.03.03,2,1,2,2,2,2,2,2,2,2,2
0504644.04.01,2,1,1,2,2,2,2,2,2,2,2
0504836.03.03,2,2,1,2,2,2,2,2,2,2,2
0504836.05.03,2,1,2,2,2,2,2,2,2,2,2
0504842.01.02,2,2,2,2,2,2,2,2,2,2,2
0504861.02.04,2,2,2,2,2,2,2,2,2,2,2
0504861.03.02,2,2,2,2,2,2,2,2,2,2,2
0505457.02.02,1,1,2,2,1,2,2,2,2,2,1
0505494.01.02,2,1,2,2,2,2,2,2,2,1,2
0505494.05.04,2,2,2,2,2,2,2,2,2,2,2
0505638.03.01,1,1,1,2,1,1,2,2,2,2,2
