"","CVE_ENT","FAC_SEL","dona_sangre_ef","dona_alimen_ef","aux_desconocido_ef","dona_org_social_ef","p_sindicato_ef","p_gpo_estud_ef","p_asoc_prof_ef","p_org_reli_ef","p_org_depor_ef","p_org_cultura_ef","p_asoc_padres_ef","p_voluntariado_ef","p_org_dh_ef","p_org_ambient_ef","p_org_vecinal_ef"
"301","01",3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302","01",1189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"303","01",1189,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"304","01",1189,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"305","01",1189,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"306","01",1189,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"307","01",1189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"308","01",2973,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"309","01",1784,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0
"310","01",1784,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"311","01",1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"312","01",1784,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"313","01",1784,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"314","01",2973,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"315","01",1784,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"316","01",1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317","01",1189,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1
"318","01",1189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"319","01",2973,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"320","01",2549,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"321","01",5098,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
