ID_PER,FAC_SEL,CVE_ENT,d_dona_sangre,d_dona_alimen,d_aux_desconocido,d_dona_org_social,p_sindicato,p_gpo_estud,p_part_pol,p_org_reli,p_org_depor,p_org_cultura,p_asoc_padres,p_voluntariado,p_org_dh,p_org_ambient,p_org_vecinal,p_org_exig_gob,es_vinculo,conoce_vinculo,p_volun,reun_relig,reun_fiestas,reun_prob_pub,reun_vigil,reun_exig_aut,reun_conviv,reun_otro
0300269.03.01,572,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,3,4,4,4,4,4,
0300269.05.01,1144,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,3,4,4,4,
0300283.03.01,2034,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,4,4,
0300303.03.01,589,3,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,4,4,2,3,3,4,
0300367.02.01,1303,3,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,2,4,4,1,
0300370.01.01,1219,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,
0300393.04.01,833,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,1,2,1,3,
0300407.04.01,1229,3,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,,,,,,,
0300442.01.01,2973,3,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,4,4,3,4,2,4,
0300442.02.01,1784,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,4,3,3,3,4,
0300442.05.01,595,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,4,4,
0300446.02.02,1290,3,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,4,3,3,3,3,3,
0300448.01.01,1219,3,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,4,4,3,2,4,
0300487.01.01,1693,3,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,4,4,3,,4,,
0300497.04.01,939,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,,,,,,
0300569.03.01,1021,3,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,4,4,4,4,4,
0300761.10.03,2374,3,0,1,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,3,4,4,4,3,
0300761.15.01,1583,3,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,4,4,4,4,4,4,
0300798.08.01,1822,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,3,
0300798.11.01,1214,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,4,4,
0300813.06.02,2669,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,3,3,4,4,
0300829.17.01,2856,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,3,3,,,
0300829.20.01,714,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
0300950.07.02,1346,3,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,,3,3,3,3,4,
0300950.09.01,673,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,4,1,1,2,2,
0300950.15.01,1346,3,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,4,4,4,4,4,4,
0300950.20.01,673,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,4,3,1,3,4,
